game_id,name,team,number,goals,assists,ds,turns
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Nick Ochoa,Texas A&M (7),#04,1,0,1,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,David Na,Texas A&M (7),#11,3,3,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,David Smith,Texas A&M (7),#35,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Luke Yanker,Texas A&M (7),#14,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,John Abuhamad,Texas A&M (7),#03,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Connor Cole,Texas A&M (7),#80,0,0,1,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Benjamin Lewis,Texas A&M (7),#07,2,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Dalton Smith,Texas A&M (7),#13,0,2,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Austin Delk,Texas A&M (7),#10,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Kyle Zawieja,Texas A&M (7),#12,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Daniel Ehrig,Texas A&M (7),#06,1,2,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Garrett Krebs,Texas A&M (7),#08,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Matthew Bennett,Texas A&M (7),#02,0,4,1,5
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Robert Lewis,Texas A&M (7),#09,1,0,0,3
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Kevin Land,Texas A&M (7),#18,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Charles Coleman,Texas A&M (7),#36,2,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jonathan Nance,Texas A&M (7),#88,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Ian Smith,Texas A&M (7),#01,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jared Schueler,Texas A&M (7),#32,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Thomas Slack,Texas A&M (7),#23,2,1,1,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Ryan  Jones,Texas A&M (7),#42,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Daniel Lee,Michigan (11),#41,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Charles Hyde,Michigan (11),#48,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Michael Roberts,Michigan (11),#43,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Benjamin Page,Michigan (11),#14,1,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jonathan Paruk,Michigan (11),#04,0,1,1,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jesse Buchsbaum,Michigan (11),#34,2,1,0,1
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Krishna Mahajan,Michigan (11),#12,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Andrew Dyer Jr,Michigan (11),#20,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Andrew Purugganan,Michigan (11),#01,1,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Ryan Schechtman,Michigan (11),#15,1,0,0,1
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Robert Moyer,Michigan (11),#40,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Max Teener,Michigan (11),#23,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Eli Leonard,Michigan (11),#08,0,3,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Dan Calabrese,Michigan (11),#72,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Elijah Graves,Michigan (11),#17,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jordan Macocha,Michigan (11),#07,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Sam Greenwood,Michigan (11),#05,3,2,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Noah Backer,Michigan (11),#00,0,1,0,2
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Alexander Heatlie,Michigan (11),#10,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Wesley Chen,Michigan (11),#02,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Zachary Goulson,Michigan (11),#11,1,3,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jesse Haji-Sheikh,Michigan (11),#06,1,0,0,1
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Andy Yu,Michigan (11),#33,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Alexander Russomanno,Michigan (11),#03,4,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Travis Compo,Michigan (11),#21,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Yonatan (Yoni) Rafael,Michigan (11),#81,1,4,1,1
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Daniel Detone,Michigan (11),#18,0,0,0,0
rnQKIeOKxsAAy38278hLQwhyF2y3pCWPJvVN1eicsbM%3d,Jake Moyer,Michigan (11),#70,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Christopher Bonner,California-San Diego (13),#87,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,James Lai,California-San Diego (13),#01,3,2,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Brendan Winnacott,California-San Diego (13),#14,1,0,1,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Sean Wilkinson,California-San Diego (13),#13,0,2,1,1
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Nicholas Smith,California-San Diego (13),#44,1,2,0,2
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Zachary Murez,California-San Diego (13),#97,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Paul Morimoto,California-San Diego (13),#08,0,2,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Steven Chung,California-San Diego (13),#33,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Mark Bunnell,California-San Diego (13),#47,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Jesse Cohen,California-San Diego (13),#84,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Zachary Wu,California-San Diego (13),#23,1,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Kedar Pujara,California-San Diego (13),#25,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Zachary Spidell,California-San Diego (13),#94,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,James Linscheid,California-San Diego (13),#40,1,0,2,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Tyler Gates,California-San Diego (13),#04,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Christopher Liu,California-San Diego (13),#05,0,0,0,1
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Nikhar Abbas,California-San Diego (13),#02,1,2,0,1
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Migal Manickaraj,California-San Diego (13),#19,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Justin Lin,California-San Diego (13),#28,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Trevor Purdy,California-San Diego (13),#55,3,2,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Ben Kumler,California-San Diego (13),#41,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Cody Kirkland,California-San Diego (13),#22,1,1,0,4
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Alistair Mcintyre,California-San Diego (13),#10,0,2,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Glenn Allen,California-San Diego (13),#54,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Aaron Lee,California-San Diego (13),#12,0,0,0,3
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Gavriel Gelbart,California-San Diego (13),#77,0,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Brent Lo,California-San Diego (13),#06,3,0,0,0
T8w7ODBOcWIVP0ZtWnQM%2fwZma87vSgcLbnCVNukJkC0%3d,Scott Dickson,Eastern Michigan (17),#19,0,0,0,0
